category,total_files,successful_files,success_rate,avg_rmse,min_rmse,max_rmse,avg_r2,min_r2,max_r2,avg_data_points,total_data_points,上行时延_avg_bic,上行时延_avg_aic,下行时延_avg_bic,下行时延_avg_aic
CPU负载,4,4,1.0,7.155878335921326,3.419143005796519,10.545483391771134,0.9994732421565883,0.9989178121298818,0.9999192814081004,18995.75,75983,-41386.34617112438,-41496.273758805575,-40078.82977869049,-40188.75736637169
网络流量负载,6,6,1.0,166.23941660957138,129.1892736701336,204.11303346817078,0.9548679616381435,0.9347771169285246,0.9821346166325152,18986.666666666668,113920,44119.656768816174,44011.28157179208,30801.5483794332,30691.803890032577
