,min,max,mean,std,q25,q75
自估上行时延,13.901400685310364,1538.3205701112747,326.29805359387063,340.388935820565,77.28718511760235,582.1357142478228
自估下行时延,31.277274310588837,1322.9263179302216,217.41411949334037,217.17905596259237,88.85874742269516,288.54096253216267
上下行均值,22.5893374979496,1430.6234440207481,271.8560865436055,278.7839958915787,83.07296627014875,435.3383383899927
