stat,type,slope,r_squared
mean,cpu,0.11313110051525398,0.006732766765203402
mean,net,0.5005410860565416,0.9672200352519794
std_upstd,cpu,0.7711895558541882,0.17247220872750846
std_upstd,net,0.32147028728463795,0.9445106201851119
down_std,cpu,0.7970957010154601,0.052901262123071
down_std,net,0.1377649776199287,0.3035436818387247
