,count,min,max,mean,std,median,q25,q75,iqr,skew,kurtosis
自估上行时延,17347.0,32.53137946128845,163.54263240098953,76.63536881679292,12.774223243020163,74.26877176761627,70.67051988840103,79.97383835911751,9.303318470716476,1.3633288989561607,4.870504654056404
自估下行时延,17347.0,35.6983967423439,157.1993322968483,89.63095763734063,16.957070834574978,96.83343178033829,75.90781119465828,100.57561859488487,24.667807400226593,-0.9473671709456555,0.1399898577619334
上下行均值,17347.0,34.11488810181618,160.37098234891891,83.13316322706677,14.86564703879757,85.55110177397728,73.28916554152966,90.27472847700119,16.985562935471535,,
