,count,min,max,mean,std,median,q25,q75,iqr,skew,kurtosis
自估上行时延,18891.0,26.882810652256012,1681.5860430002213,392.03894435668417,354.40015065476285,214.31810188293457,92.63876277208328,671.8161468505859,579.1773840785027,0.7625275053135403,-0.8565816367672952
自估下行时延,18891.0,29.164232909679413,1295.9271741509438,270.1155087161068,242.04583171825985,148.33358973264694,87.06206205487251,425.82833486795425,338.76627281308174,1.3565633838343303,1.66326327535797
上下行均值,18891.0,28.023521780967712,1488.7566085755825,331.0772265363955,298.22299118651136,181.32584580779076,89.8504124134779,548.8222408592701,458.9718284457922,,
