,count,min,max,mean,std,median,q25,q75,iqr,skew,kurtosis
自估上行时延,18990.0,-3.338975429534912,1217.3709855675697,135.74947447894183,212.28673938384208,68.61892983317375,60.10041433572769,80.65408343076706,20.553669095039368,3.246929143684916,9.688683781538778
自估下行时延,18990.0,29.85713642835617,1225.395306110382,135.74898502602272,179.499376798114,101.08464241027832,89.90876668691635,110.56680680811405,20.6580401211977,4.525825821444824,19.52971621898441
上下行均值,18990.0,13.25908049941063,1221.383145838976,135.74922975248228,195.89305809097806,84.85178612172604,75.00459051132202,95.61044511944056,20.605854608118534,,
