,count,min,max,mean,std,median,q25,q75,iqr,skew,kurtosis
自估上行时延,17686.0,36.203641295433044,154.14643841981888,72.90892140285726,8.727330169645294,71.39537212252617,68.40065285563469,74.87151581048965,6.470862954854965,1.7241160444824886,8.002242118220673
自估下行时延,17686.0,42.16628950834274,130.30865788459778,95.53247048898169,12.113620567419389,98.5909032523632,95.36967089772224,101.63244824111462,6.262777343392372,-1.6833357901447465,2.9323747578060675
上下行均值,17686.0,39.184965401887894,142.22754815220833,84.22069594591947,10.42047536853234,84.99313768744469,81.88516187667847,88.25198202580214,6.366820149123669,,
