,count,min,max,mean,std,median,q25,q75,iqr,skew,kurtosis
自估上行时延,18996.0,56.69539439678192,138.4743909239769,87.41883527018894,6.066667760172524,85.49471291899681,83.58125856518745,89.9987525343895,6.417493969202042,1.3755129167202105,2.9991695087184236
自估下行时延,18996.0,33.1134387254715,128.65924751758575,87.41833029104725,5.560129863722785,86.90055060386658,85.13863594830036,89.6908523440361,4.552216395735741,-2.236505497913469,16.877408603922493
上下行均值,18996.0,44.90441656112671,133.56681922078133,87.4185827806181,5.813398811947654,86.1976317614317,84.35994725674391,89.8448024392128,5.484855182468891,,
