,count,min,max,mean,std,median,q25,q75,iqr,skew,kurtosis
自估上行时延,18965.0,18.83308857679367,1933.9291536808014,202.7327008392765,267.9403411905913,85.30890965461731,76.39540261030197,110.83525520563126,34.439852595329285,2.184698766117194,3.6312561721728804
自估下行时延,18965.0,29.725230753421783,1244.8500443696976,235.10194266193812,283.6366530838194,96.22732537984848,87.76242935657501,210.41724038124084,122.65481102466583,1.8346155776156492,2.046589670292708
上下行均值,18965.0,24.279159665107727,1589.3895990252495,218.9173217506073,275.78849713720535,90.7681175172329,82.07891598343849,160.62624779343605,78.54733180999756,,
