,count,min,max,mean,std,median,q25,q75,iqr,skew,kurtosis
自估上行时延,18652.0,-65.2777652144432,153.46748983860016,46.58724229435296,47.682425866575066,67.43194389343262,15.127305060625076,75.6535452157259,60.52624015510082,-0.830704001613674,-0.36716681096873094
自估下行时延,18652.0,-2.9026331901550293,256.00391685962677,124.64995462820812,51.907239387760676,103.95855283737183,93.82695698738098,162.10627694427967,68.27931995689869,0.7424170736750216,-0.5689418347594821
上下行均值,18652.0,-34.09019920229912,204.73570334911346,85.61859846128054,49.79483262716787,85.69524836540222,54.47713102400303,118.87991108000278,64.40278005599976,,
