,count,min,max,mean,std,median,q25,q75,iqr,skew,kurtosis
自估上行时延,18983.0,-94.54160237312317,2069.132673561573,410.66222081774123,378.7317498477269,334.8185769915581,48.08609354496002,724.6490411758423,676.5629476308823,0.4923902000602083,-0.9553511947056106
自估下行时延,18983.0,-10.878380060195923,1502.5239831209183,410.6617194445852,301.0779957015585,332.7378082871437,181.75494277477264,550.7290489077568,368.97410613298416,1.4711111679938094,1.9052617779615142
上下行均值,18983.0,-52.709991216659546,1785.8283283412457,410.66197013116323,339.90487277464274,333.7781926393509,114.92051815986633,637.6890450417995,522.7685268819332,,
