,count,min,max,mean,std,median,q25,q75,iqr,skew,kurtosis
自估上行时延,18775.0,21.342091500759125,1556.3666954636574,338.1272540122882,343.78971375299375,110.02431756258011,82.69876965880394,599.5563118755817,516.8575422167778,1.0466930367874654,-0.34962426165814664
自估下行时延,18775.0,28.9389169216156,1305.925613284111,210.46519434995562,220.1612576846414,94.95266777276993,83.21392837166786,289.52786350250244,206.31393513083458,2.128528027413019,4.9276742913238865
上下行均值,18775.0,25.140504211187363,1431.1461543738842,274.2962241811219,281.9754857188176,102.48849266767502,82.9563490152359,444.5420876890421,361.5857386738062,,
